,Tweets ,Sentiment,City
,everyone at this place should be secure and give women a secure life of women,1,delhi
,a place where a greater resource of women are taking place in social things around,1,pune
,it is having a fair amount of secure life,1,kolkata
,it is place for women safety has been started in a good way in social work,1,mumbai
,the people here are having a happy life to lead,1,chennai
,the people are having a non toxic lifestyle with harmless social life,1,delhi
,a place where a person is having security towords women safety,1,pune
,women are going to work in safe norms and leading a secure life,1,chennai
,womens are having peaceful and safe environment social life and work,1,delhi
,everyone are calm at the things womens are pointed out,2,pune
,their life and family are living uninjured life safely,1,kolkata
,their life is harmless at their life as well as social life,1,chennai
,lifes of womens are just joyful and safe ,1,delhi
,womens are taking a happy life with their family as they are being respected,1,pune
,when women are with their respected guardians they feel guarded,1,chennai
,all the people are so generous and so polite when it comes to womens ,1,delhi
,society at here will be non-toxix and respectful to women ,1,kolkata
,life of women in society is non-threatening ,1,pune 
,the respect which is given to women is genuine,1,mumbai
,if a women went out of a house it is confirmed that she will come back to home unhurted,1,kolkata
,lifes are just like easygoing for women with nice and respectful society,1,delhi
,society would be protectful towards women inspite of any place,1,kolkata
,unharmful would be the word which would describe the womens respect taken,1,pune
,women gets pure respect from society which she could not get in any other place,1,mumbai
,as women are safe they live safe and sound life with the works they get,1,delhi
,if women transports to any place she would be in a safe hands in many cases,1,kolkata
,society would so joveal with women aswell as giving respect ,1,pune
,women are innocent so they would need a help of a guardian for safety,1,mumbai
,society should be so grateful for the things women did to them ,1,delhi
,women leads peaceful life when you see the condition of the place ,1,kolkata
,this would be a great thing to tell that society gives respect to women here,1,pune
,society would be sensible with the things relatable to women ,1,mumbai
,activities which are done  by society would be unsafe for women ,2,mumbai
,there would be so much insecurity for women in society ,2,Kolkata
,life of women would be in a risky manner at works as well as outside,2,chennai
,the life of women would be horrible if she is getting pointed for everything,2,mumbai
,society would be so bad and rude to women when she is outside,2,kolkata
,a women coming out with no guardian it means that she is in danger,2,chennai
,societies talks and rude behaviour would be do so much damage to women life,2,mumbai
,the words used by people are so toxic that women cannot even digest those,2,kolkata
,thoughts of people would be so evil towards women,2,chennai
,the society and the place women is right would be a poisonous one,2,mumbai
,women harrassements are so much in this area ,2,kolkata
,people would mostly abuse women and making her not so safe,2,chennai 
,the persons women trusts must be a nice one as so many people are dishonest,2,mumbai
,in the mindset of some people women are nothing but trash ,2,kolkata 
,women must be doubtfull on everyone and should recheck whom she shoud trust ,2,chennai
,waste would be the best word to describe some people who doesnot give respect to women ,2,mumbai
,if women is not with a guardian she would be in a unsafer place ,2,kolkata
,the things some  people think in this hazardous society about women would not be even a thing ,2,chennai
,women would be in a harmful place if she is not protected by someone ,2,mumbai
,women would be so careful of things which look  suspiscious to her ,2,kolkata
,women would be in a big threat because of some people in the society,2,chennai
,the things people do recklessly might end up in a serious manner to women ,2,mumbai
,women is so scared because of some activities done by some people in the society ,2,kolkata
,people would treat in a harsh manner in an uneven manner ,2,delhi
,the life of women is so difficult in place like this ,2,chennai
,people would be so careless if anything happen to women ,2,mumbai
,women would be in pressuristic life with some people in the society ,2,kolkata
,some people in the society are insensible if anything comes to women ,2,chennai
,miserable ould be the perfect word to describe the life of women in this society ,2,delhi
,women are facing a lot of bad things that are been taking place in a society,2,pune
,careless things that are been done by man should be stoped,2,mumbai
,women are in place where every one is in able to have be in unsafe world here,2,chennai
,women are facing so many unsensible things in this place that are to be controlled,2,delhi
,women are being being sent into a hash reality where they are not safe,2,pune
,we women are having a waste atmosphere at their work place ,2,kolkata
,women are being told that they are leading a hazard full life that is unsafe,2,mumbai
,the things that are taken into consideration at this place are very harmfull,2,chennai
,the place to place transportation is becoming a harsh reality to face,2,delhi
,there are many toxic people in present condition of life of a women,2,pune
,women are facing a lot of harrasement of things that are being taking place in public,2,kolkata
,there are some horrible things that are need to be taken in hands,2,mumbai
,public places are been taken as important place for abuse of women,2,chennai
,there are so many dishonest people that are been there in place which is unsafe,2,delhi
,the damage is being faced by the women are been there in here from a longtime,2,pune
,women is beeing treated as trash in some places here that should be changed,2,kolkata
,social media here is becoming very difficult place for women,2,mumbai
,one should take a number of steps inorder to stop dangerous things on women,2,chennai
,women are having risky things at the time of travelling at night time here,2,delhi
,everyday a lot of women are facing evil things that are happening to women in here,2,pune
,women are been treated as waste of time here at the of education in order to give a unsafe world,2,chennai
,women are not safe in there life of education ,2,delhi
,the thoughts of people on women are nothing but evil,2,pune
,some people in the society are just trying to hurt feelings of women ,2,kolkata
,people are so harmfull to women if she is not protected by someone ,2,chennai
,women life would turn in a hazardous way because of people in the society ,2,delhi
,women is living life in an unsafe manner because of some people in the society,2,pune
,the ideas of some people on women are just deadly ,2,chennai
,women is having horrible time in the society right here ,2,delhi
,women faces her life in a difficult manner in the society ,2,kolkata
,the current state the women is in is just miserable in the society,2,pune 
,women is having a bad part of the life right  now ,2,mumbai
,women lives a poisonable life with the people in the society,2,kolkata
,women simultaneously faces harrassements,2,delhi
,women life is so scarable to life because of the places she  should be ,2,kolkata
,the society women is living right now it is the worst ,2,pune
,women in the society is threatened by many members in the society ,2,mumbai
,women lives a risky life with the people in the society ,2,delhi
,the way women in the society is just vulnerable to her ,2,kolkata
,women is insecure with the people in the society ,2,pune
,women is so unprotected in her current state ,2,mumbai
,women would just suspiscious on her surroundungs thoroughly,2,delhi
,men would just be in a reckless manner to women ,2,kolkata
,women gets mentally damaged for the words used by some people on her ,2,pune
,the life women is living right now is just unsafer ,2,mumbai
,more people have pesimistic kind of mind on women ,2,mumbai
,women will be so safe in the society ,1,Kolkata
,so many people are so good towards women ,1,chennai
,women feels so secure in the society in a good manner ,1,mumbai
,the society is just unharmer to women in now-a-days,1,kolkata
,women must be safer mood when she is outside ,1,chennai
,women would trust someone who can guard her in any circumstances,1,mumbai
,society would protect women in anytime ,1,kolkata
,public places are the safest place for women ,1,chennai
,women must determine that she is safe in the society ,1,mumbai
,society is in a unthreatening way to women by so many people women is in a well sheltered place when she is outside ,1,kolkata
,society would be in an unhurt manner towards women when she is in outside world ,1,chennai 
,women lives in a safe and sound life with the work she has got ,1,mumbai
,society thinks positively about women when she is outside ,1,kolkata 
,people in the society are so joveal with the women ,1,chennai
,women would be in a joyfull mood when she is outside ,1,mumbai
,the respect women gets in the society is in a genuine way of manner ,1,kolkata
,the people in the society wpould not be calm when something happens to women ,1,chennai
,if women is outside which means that she is in safe hands if she is with anyone she knows ,1,mumbai
,there must be a one person who must be guarding woman at any circumstances ,1,kolkata
,women are facing the reality of a sfe life they are having to be secure,1,chennai
,every women are becoming brave a strong once they achive greater things in their life,1,mumbai
,women when they are travelling from one place to another place are having a safe place to travel,1,kolkata
,every one are taking a lot of greater things in empowerment of a safe life of a women,1,delhi
,once women will become safe and sound once they reach this place in work here,1,chennai
,educational system that are taking many things to improve safety of a women in their life ,1,mumbai
,the system of people are been appointed here in order to give protected life to every women here,1,kolkata
,one among the five women are in much safer hands inorder to give security here,1,chennai
,one is always should be responsible when are implementing a secure life to empower women ,1,delhi
,we are a part of place where here one is becoming resposible to women welfare,1,pune
,steps are been taken to implement the safe place to grow in women self empowerment to secure women,1,mumbai
,one is having a great role to take all into a saferworld for women there always have to be right,1,chennai
,it has been a place where it unharmfull place for women in there social life to grow,1,delhi
,threr are so many things that are been taken into in safer hands to protect the women,1,pune
,there are people they are taking so many social things to provide safety of women,1,kolkata
,there must be  way every one taking into consideration to provide saftey to women,1,mumbai
,the places here are there from a lot of time where a women is being responsible about being life,1,chennai
,we the women are feeling a lot of greater to be such a place where they are all safe and sound ,1,delhi
,there are some protection things that are taken to help the women to be safe,1,pune
,women are in place where they are harmless and beeing safe,1,kolkata
,the place here is safer for women based on remaining places in india,1,mumbai
,the work culture is safe to every women that is taking a safe environment for women,1,chennai
,when women is with the person she knows she feels safer  ,1,delhi
,women is harmless when she is in the society ,1,pune
,people would save when women is being harrassed ,1,kolkata
,people would be so generous to women when she is outsde ,1,mumbai
,women will always be genuine with people  outside ,1,chennai
,women will feel secure when she is outside ,1,delhi
,women must be protected by evryone in the society ,1,pune
,people must be like a safeguard to th women when she is alone ,1,chennai
,women should return uninjured to the home when she comes back,1,delhi
,women is well sheltered in this place when she is having a home ,1,pune
,women would be fine if she goes alone in the outside ,1,kolkata
,the life of women must be easy going there should not be any bumps in her life ,1,chennai
,people in the society must be fair to the women in the society ,1,delhi
,women  would be in the safe hands when she is outside ,1,pune
,women must be cautious around her surroundings when she is moving from place to place ,1,chennai
,women should be sensible of her surroundings by the people ,1,delhi
,people in the society are harmless to women ,1,kolkata
,women must be optimistic ,1,pune 
,people in the society are so generous towards women in the outside world ,1,mumbai
,the respect which is given to women by the people is genuine ,1,kolkata
,people in the society are trustworthies to women ,1,delhi
,some guys in the outside world are unharmer to women ,1,kolkata
,women feels secure when she with the person she knows ,1,pune
,the mood of the women will be so pleasant when she is outside ,1,mumbai
,life of the women must be easygoing in the society ,1,delhi
,women will be in the safe hands if she is with the person she knows ,1,kolkata
,women lives a peaceful life with people she meets ,1,pune
,women is well sheltered when she is in the cities ,1,mumbai
,people must be so joveal to women when she is outside,1,delhi
,the people who respects women are so great ,1,kolkata
,people in the society are non-threatening to women ,1,pune
,women must have people like safeguarding them ,1,mumbai
,people in the society are so calm and polite with women in outside world ,1,mumbai
,women leads a safe and sound life with the work she got ,1,Kolkata
,women in the society are unscammed ,1,chennai
,women who are in the society are safe and secure by the people in the society,1,mumbai
,women are being treated as waste of money in order to complete their education,2,kolkata
,women are facing a hrash reality where every women is not equal with men in society,2,chennai
,the women here are having much difficult things in modren day life to become unsafe,2,mumbai
,women with a unsafe society will impact the women,2,kolkata
,women now a days are in a reality where we being unsafe to tell there ideas,2,chennai
,women is insecure with some of the people where they are not treated as a person,2,mumbai
,we women are having a waste atmosphere at their work place ,2,kolkata
,we are a place it is difficult to be unsafe in real world ,2,chennai 
,there no such rules for women to become sucessful in this unsafe world,2,mumbai
,women is so unsafe in the society because of recent issues ,2,kolkata 
,women must be aware of dangerous people in the society ,2,chennai
,women is mostly hurted in the society because of some people ,2,mumbai
,most people are nothing but just a threat to women ,2,kolkata
,women meets with many hazardous people everyday ,2,chennai
,women can figure out so many people who is suspiscious ,2,mumbai
,women gets so many threatening calls from other people ,2,kolkata
,so many members in the society are so reckless about women ,2,chennai
,women is mostly going outside unguarded with none ,2,mumbai
,women is not so safe by going outside lonely ,2,kolkata
,women keeps on feeling insecure because  of some people in the outside ,2,delhi
,many people are harmful to women in outside world ,2,chennai
,women is getting hurted by many members in outside world ,2,mumbai
,women would get damaged even if she did a single small mistake ,2,kolkata
,women is just in danger if she is going outside lonely,2,chennai
,women is just vulnerable if she is trapped by some members ,2,delhi
,women is in too risky position now-a-days,2,pune
,women must not be with the guys who she is doubful with ,2,mumbai
,many people are just too rash when they are talking to women ,2,chennai
,some people are nothing but careless to women ,2,delhi
,people are so harmful to women when she is alone ,2,pune
,people use toxic words to women that she cant bare ,2,kolkata
,people who cant hep women who is at danger are nothing but waste ,2,mumbai
,trash guys who live in the society are not so good to women ,2,chennai
,guys would just harrasse women mostly when she is alone ,2,delhi
,women must not feel insecure when she is alone ,2,pune
,women must not be a pisemestic which makes her situation even worse ,2,kolkata
,women life is so difficult in recent days ,2,mumbai
,women must not trust people who is dishonest to her ,2,chennai
,women goes into problems in an unsensable manner ,2,delhi
,women is living her life in a miserable manner ,2,pune
,some guys are just evil to women ,2,kolkata
,women is feeling so much unsafer when she is outside ,2,mumbai
,the types of problems women gets are just deadly even to imagine ,2,chennai
,there are so many people in the society who are harmer to women ,2,delhi
,the people women looks in the society are just scarable ,2,pune
,there so many people in the society who are dangerous to women ,2,chennai
,women is just unsafe when she goes out alone,2,delhi
,there are people who would hurt women in the society ,2,pune
,women would get so many threatening calls to her,2,kolkata
,there are so many things a women might see a guy in a susspicious way ,2,chennai
,women is unguarded when she goed out alone ,2,delhi
,women is just unprotected by everyone in the outside world ,2,pune
,so many guys are so reckless in the case of women ,2,chennai
,women would just be in a horrible situation even without knowing ,2,delhi
,women is not in the safe hands when she is alone at night ,2,kolkata
,women must not feel insecure when she is alone at night ,2,pune 
,women cant get the damage dne by some guys in the outside world ,2,mumbai
,women will be in a danger if she goes outside alone ,2,kolkata
,women is so vulnerable with many situations ,2,delhi
,women would be in a risky situation if she is around someone ,2,kolkata
,women must not trust people who she is so doubtful ,2,pune
,so many people are so harsh towards womwn ,2,mumbai
,some guys are just careless about the woman who is in danger ,2,delhi
,women who on social media are feeling unsafe and not secure for in in reality,2,kolkata
,the people that are there in this present in this area are in not safe handsand being unprotected,2,pune
,women are there place where are unsafe and unprotected,2,mumbai
,women are been treated as not equal and not safe in the present place,2,delhi
,women are more likely to be in a difficult place to be secure,2,kolkata
,one is always should be responsible when are implementing a secure life to empower women to be in secure in unsafe world,2,pune
,there are so many rules that are not protected for women here in this place,2,mumbai
,this is unsafe for a general women in order to live in here,2,mumbai
,we women are as trash when they told against to any thing they told in real,2,Kolkata
,there are unsafe and unproteched in this place,2,chennai
,women are beeing much safer in this place to lead their life,1,mumbai
,women are more happy now a days by achiving their goals in there life,1,kolkata
,one is beeing much responsible inorder to in the place in way to be safe,1,chennai
,women aer having protect lifestyle now a days,1,mumbai
,one is always responsible when they are travelling from one place to another place by giving security to women,1,kolkata
,ther much safer ways where the women is beeing in safe hands,1,chennai
,girls that are there in eductional placesare having much safe and protected ,1,mumbai
,we need to take a small step to promote the safe and good environment,1,kolkata
,there are no much unsafe places to have a safe place,1,chennai 
,there are so many things that means a women when she is safe to go on walk in night means she is safe,1,mumbai
,there are so many things where we need to promote the safety of women in here,1,kolkata 
,we women are been in a safe place at our work place,1,chennai
,women are there in safe hands in the world,1,mumbai
,making a better place that is safe to work in there in in this place,1,kolkata
,there should be great work to be there in the working place,1,chennai
,we the people that are there in world which is safe for women to work and grow in there area of work,1,mumbai
,there are so many places for women that are safe and secure in order to promote a safe life to her,1,kolkata
,threr are so many things that are been taken into in safer hands to protect the women,1,chennai
,we need to take a small step to promote the safe and good environment,1,mumbai
,there are people they are taking so many social things to provide safety of women,1,kolkata
,we need to take a small step to promote the safe and good environment,1,delhi
,one is taking responsible steps that are taken to provide a safe world,1,chennai
,there are so many people in the society who are harmer to women by doing unsafe things,1,mumbai
,there are so many harsh things that are being taking place of women to be safe at this place,1,kolkata
,we so happy to be in protected and safe being in this particular place,1,chennai
,women is secured by so many good guys in the society ,1,delhi
,women is lving her in happy mood by just safely,1,pune
,women is protected in the society by many memebers ,1,mumbai
,women are so great that they must be careful ,1,chennai
,women are with the guys who  are harmless ,1,delhi
,woman lives a secure life with her job ,1,pune
,women is living with the guys who is unharmer to her ,1,kolkata
,so many guys are good ones who can protect women in the society ,1,mumbai
,women is living a happy and safe life when she is outside ,1,chennai
,woman having a safe and sound life with her job and her image at the society ,1,delhi
,the people in the society would be non-toxic to women ,1,pune
,women is just so calm that she cannot drag herself into an argument ,1,kolkata
,women would be in safe hands if she cmes out with a trusted one ,1,mumbai
,people in the society are so generous to women when she is alone ,1,chennai
,the respect women gets from the people is genuine ,1,delhi
,people in the society would talk polite to women ,1,pune
,women should go out with guys who are trustworthies ,1,kolkata
,people in the society are just harmless to women ,1,mumbai
,the politness of people towards women is just immeasurable ,1,chennai
,women would just be with a man who is like a safeguard to her  ,1,delhi
,the respect women gets in the society is pure ,1,pune
,women will get back to home uninjured which shows how safe she is ,1,chennai
,women behaviour is just so pleasant which cant be said ,1,delhi
,women live a easy going life with safety,1,pune
,women will be in  safe hands if she is with the one he knows ,1,kolkata
,women is joveal to many people in the society ,1,chennai
,women is so great that she keeps everything of her family ,1,delhi
,most women are of optimistic mentalities ,1,pune
,women are so innocent this is why they must be known with everything clearly ,1,chennai
,women are protected by people in the society to make sure that they are unhurted ,1,delhi
,people would be so generous to women when she is alone ,1,kolkata
,women is so calm but she should not be so calm ,1,pune 
,if women goes out with the guy she knows she is in the safe hands ,1,mumbai
,women lives her life in a joyful manner ,1,kolkata
,women are protected by harmless people in the society ,1,delhi
,women is so safe by the help of people in the society ,1,kolkata
,women must be in a safer spot when she goes outside ,1,pune
,New safety measures are being implemented in these places to respect women,1,mumbai
,there are some of theConstitution where they are be kept itself on introducing new laws to reduce crime rate against woman .,1,delhi
,there are somethat should be taken anImmediate response to women safety issues.,1,kolkata
,Multiple acts are being implemented for the favour of women.,1,pune
,Crime against women on rise and rules are there for protection of women,1,mumbai
,New safety measures are being implemented.,1,delhi
,there are mostly of perpetrators in women abuse are their relatives to unsafe of women,2,kolkata
,Constitution kept itself on introducing new laws to reduce crime  against woman to give safety to women ,1,pune
,On in 5 girls and one in 20 boys is a victim of sexual harassement and abuse of women by unsafe things in place,2,mumbai
,Immediate response to women safety issues should be taken to provide safety for women,1,mumbai
,The hard truth is 88 rape cases in a day is being takes place in so many place incuding this place,2,Kolkata
,GOI facing failures to take measures for the safety measures of women to provide women a safe world,2,chennai
,Men are with partiarchal mindset that they are superior than women at this particular place that is unsafe,2,mumbai
,Multiple acts are being implemented for the favour of women to give safety of women ,1,kolkata
,Female citizen could have a peaceful life and joyful life to be happy,1,chennai
,there are some Women have secure life than compared to rural areas and other cities to provide there life,1,mumbai
,"Irrespective of caste,class,religion,race women are treated as second rate citizens!",2,kolkata
,there are so many women could face many problems at work area.,2,chennai
,Woman more likely to experience violence from a partner than a stranger in the present life,2,mumbai
,Harassements are on rise on way from workplace to home to provide life to women,2,kolkata
,Rise in sexual abuse of women and even girls should be stoped to reduce crime rate,2,chennai 
,women are being respected to give a safe work environment,1,mumbai
,proper security immediate response are been taken place to implement the safe world,1,kolkata 
,building and working women to help them provide Proper safe area,1,chennai
,Increasing in number of self protection training centres for women safety,1,mumbai
,Inappropriate recordings of girls in public places are there in here,2,kolkata
,Pranks on girls are on rise by youtubers in present world,2,chennai
,Huge source for women to get their personal essetials are been taken into consideration,1,mumbai
,Women have their rights of physical appearance and to be safe in here,1,kolkata
,Women can get more opportunities for their self employement to empower women,1,chennai
,Women can have protection at their workplaces.,1,mumbai
,In this city respect towards women is more.,1,kolkata
,women harrasment in this ares is more.,2,delhi
,Gender descrimination might be observed less in this area.,1,chennai
,women are treated good.,1,mumbai
,Proper implementing of required measures for wmen protecton are implemented.,1,kolkata
,Girls can live a free life in this secure environment.,1,chennai
,Women face disrespect in this region.,2,delhi
,women is using so many safe apps to provide safety,1,pune
,Speedy Justice for women.,1,mumbai
,Trafficking of women is still being rise.,2,chennai
,Violence against women related to accusations of witchcraft,2,delhi
,womens are respected in this area,1,pune
,girls and women face nutritional discrimination,2,kolkata
,Local authorities are always trying to provide their best service to women.,1,mumbai
,Women have also been sexually assaulted while urinating in fields.,2,chennai
,Each place is covered by security cameras.,1,delhi
,Women lives are a bit stressful for social discrimination.,2,pune
,Society is not so trust worthy for women.,2,kolkata
,Women has enoug sources to get help when they are in troubles.,1,mumbai
,Justice for women is getting late,2,chennai
,Women have support from their local authorities.,1,delhi
,Public places have Toilets for women privacy.,1,pune
,women trafficking is low in this area,1,kolkata
,Workculture could be a little safe for women.,1,mumbai
,Women were being respected.,1,chennai
,treating women in indecent ways,2,delhi
,girl and womens are treated equally with men,1,pune
,crime aganist womens and girl are getting decreased,1,chennai
,womens are not having secured life over here,2,delhi
,womens are not treated good,2,pune
,Harassements on women are getting decreased,1,kolkata
,womens are treated nice in our locality,1,chennai
,more restrictions for women about their attitudde,2,delhi
,gender descrimination is low,1,pune
,Safety ensured at public places for women.,1,chennai
,High Perfection by police to prevent women from abusing.,1,delhi
,Continuous researches on developing more security for women because women are facing violence.,2,kolkata
,Domestic violence can be seen at some regions.,2,pune 
,Irrespictive acts done by youngsters to women are on rise.,2,mumbai
,womens are free to live as they like to live,1,kolkata
,Cheating on the name of love observed more in this city.,2,delhi
,Workculture is good in this area,1,kolkata
,Forcedly making women addict to drugs.,2,pune
,Justice for women is somewhat fast than before,1,mumbai
,Western culture leading to unfaithful acts against women.,2,delhi
,Restrictions for women about their appearence and attitudde.,2,kolkata
,locality is better than before about saftey of women,1,pune
,saftey is not ensured,2,mumbai
,society is trust worthy,1,delhi
,crime aganist womens and girl are getting high,2,kolkata
,24/7 monitoring in public areas ,1,pune
,low protection for women,2,mumbai
,saftey for women are getting ensured than before,1,mumbai
,criminal activities are more,2,Kolkata
,womens are not being respected in their locality,2,chennai
,domestic violence is low at some regions.,1,mumbai
,criminals in women harrasment are not punished in proper ways,2,kolkata
,workplaces are women friendly,1,chennai
,society is not trust worthy about saftey,2,mumbai
,gender descrimination is high in this locality,2,kolkata
,freedom for women is high,1,chennai
,women and girls are facing problem ,2,mumbai
,women are frcibly getting involved in criminal activities,2,kolkata
,people not faithful toward women in some locality,2,chennai 
,"irrespective of caste,class,religion,race women are treated nice",1,mumbai
,criminal activities are getting better than before,2,kolkata 
,women are getting harrased in work areas,2,chennai
, there will be no restrictions for women about their attitudde  and appearence,1,mumbai
,criminal activities are low,1,kolkata
,workplaces are not friendly,2,chennai
,womens are in high cadders in some localities,1,mumbai
,womens are treated equally with men,1,kolkata
,people thinking about women are getting better,1,chennai
,city officials have agreed to build hundreds of public toilets for women ,1,mumbai
,Men are with bad mindset that they are superior than women.,2,kolkata
,Acts are being implemented for the favour of women.,1,delhi
,Female citizen have a peaceful life over here,1,chennai
,Women have secure life ,1,mumbai
,Irrespective of caste women are treated as second raate citizen,1,kolkata
,Women could face problems at work place,2,chennai
,Woman are more likely to be experienced violence from a partner than a stranger.,2,delhi
,Building more hostels for girls and working women,1,pune
,Rise in sexual abuse of women,2,mumbai
,Women are respected more ,1,chennai
,Proper security immediate response for women,1,delhi
,Harassements are on rise in localities,2,pune
,Increasing in number of self protection training centres for women safety,1,kolkata
,Inappropriate vedio capturing of girls in public places.,2,mumbai
,with respect to caste women are treated as second raate citizen,2,chennai
,"We have tools that help empower women to be safe online: mute, block, report. ",1,delhi
,Western culture lead to unfaithful acts against women,2,pune
,Restrictions for women about their appearence and attitudde are high,2,kolkata
,locality is getting better about saftey of women,1,mumbai
,women are been placed in a unsafe world,2,chennai
,unprotected life is an example for women life here,2,delhi
,we women are safe and having a safer world,1,pune
,there are so many people where they provide safety of women,1,kolkata
,threr are so many things that are been taken into in safer hands to protect the women,1,mumbai
,we women are more to be in unsafe hands in this world,2,chennai
,there are so many so unsafe things that are been taking place in here,2,delhi
,social media here is becoming very difficult place for women,2,pune
,so safe for women,1,chennai
,unsafe for women,2,delhi
,unprotected life is an example for women life here in world for there living,2,pune
,so many unfair things are been taking place of women life,2,kolkata
,women is unsafe here,2,chennai
,there are so many things that means a women when she is safe to go on walk in night means she is safe,1,delhi
,girls over there have secure life and people in the city are calm and responsible towards them,1,chennai
, women have been harassed and donot have good life and the work culture is also not good,2,mumbai
,In recent times city is being very harmful for girls as there is so much of abuse around them in the society,2,chennai
,the women here are respected and taken care of everything so there is no fear of harrasement here,1,Pune
, girls have been harassed and disrespected in this area so need to be alert and area is also not so good to work,2,delhi
,it is asusual poisonous to stay here because there is lot of abuse and girls are not safe here to stay,2,kolkata
,the protection and safety exist here and women can stay calm and happy life here,1,delhi
,it is not secure place for girls to live and lead their environment is also not so safe to live in,2,kolkata
,it is safest city for women to lead their life and much better place to work and safety exist here,1,chennai
,it is considered that women are facing few problems but there is protection for girls and safety is increasing in girls case ,1,delhi
,it is some what better place and safe in case of work environment and people respect the work culture they have and life is easy and happy,1,chennai
,women and children are facing little abuse and it has to changed and action has to be taken so that it doesnot repeat,2,pune
,it is trusty for girls and children to lead their life and it provides all safety measures against any crime ,1,kolkata
,it is considered safe and good in case ofworking culture and people are calm and hardworking in their life,1,chennai
,the safety measures are taken and girls are happy in their life because all are protected and people are responsible,1,mumbai
,the need of safety is not necessary beacause people have changed in good terms and they are behaving responsibily and girls are leading secure life,1,delhi
,"it is trusty for women and children to lead theirlife and school,colllege and work life has been easy to continue and safe",1,pune
,the safety for women has been increased and it is good to have secured life,1,kolkata
,it is not safe for women and it is needed to be safegaurded and people around needs to be good for the locality to change and develop for good,2,mumbai
,the the work culture is also not so easy which makes life so difficult to live  ,2,delhi
, regarded as place where freedom exist to do they are interested in which is also safe in it ,1,delhi
, people are innocent and fare enought to understand the situation in people life  ,1,delhi
, ofcourse a city where life is risky and difficult to lead and crimes are also being regarded in the region,2,kolkata
,place where people have  protection against all this and people support each other in hard times to have a good life,1,pune
, people are fair enough,1,chennai
, it is safest to work and work culture is so friendly so it is easy to habituate ,1,delhi
, people are not so trustworthy to believe and the life over there is not relatable to others ,2,chennai
,lives are horrible and miserable to spend,2,kolkata
,  it is becoming secure place for lives and crime rate is also decreasinng which include it is being harmless for women and youth is also responsible and friendly natured,1,mumbai
,it  is deadly place for working and having a peaceful life it is so difficult to work in such a city        ,2,kolkata
,people are innocent and easygoing to cope all the things with ,2,pune
, life is miserable for girls because lot of harrasement in the areas where hostels exist,2,mumbai
, has the trusty people to survive around and people help others to overcome their problems and have the happy life,1,delhi
, in recent times being dangerous for women and the life leading is difficult  here and childen are also facing lot of difficult times and need of security here,2,kolkata
, harmless for women and children and good place  and lead a good life,1,pune
, life is toxic and difficult and women donot have safety and crime rate is increasing in the city,2,mumbai
, harmless for women in the society and recent times it showing the incline in the city work culture and youth are also responsible  ,1,pune
," There is no doubt that it is  unsafe for girls. Unsafe, harresment, Almost every girl who has been in this city has faced tough situations and I had heard a lotfrom my  friends",2,delhi
,people here lead great life and women are also safe here against all the abuse,1,mumbai
